artist_name,track_name,key,mode,tempo,music_genre
Two Door Cinema Club,Are We Ready? (Wreck),D,Minor,93.988,Rock
Jet,Are You Gonna Be My Girl,D,Major,105.046,Rock
Lenny Kravitz,Are You Gonna Go My Way,B,Minor,129.267,Rock
Rascal Flatts,Are You Happy Now,G,Major,131.918,Country
Disturbed,Are You Ready,G,Major,199.888,Alternative
Disturbed,Are You Ready,G,Major,199.888,Rap
Borgore,Are You Sure Now?,E,Minor,145.045,Electronic
Easton Corbin,Are You With Me,G#,Major,147.875,Country
Easton Corbin,Are You With Me,G#,Major,147.875,Rock
empty_field,Arecibo - Zebra Centauri Remix,D,Minor,107.985,Electronic
Emancipator,Ares,F,Major,129.605,Jazz
Pete Rock,Aretha,A,Major,177.79,Jazz
Johann Sebastian Bach,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Aria - Live",G,Major,66.095,Classical
Mike WiLL Made-It,Aries (YuGo) (feat. Pharrell & Station Wagon P),E,Minor,141.982,Hip-Hop
Lamb,Armageddon Waits,G,Major,138.039,Electronic
Juice WRLD,Armed And Dangerous,A#,Major,130.032,Rap
Brothers Osborne,Arms Of Fire,D,Major,119.993,Country
SahBabii,Army,A,Minor,134.003,Hip-Hop
Lady Antebellum,Army,D#,Minor,90.51,Country
Tribal Seeds,Aroma,G,Minor,143.993,Rock
Red Hot Chili Peppers,Around the World,C,Major,96.682,Alternative
Red Hot Chili Peppers,Around The World,C,Major,96.682,Rock
Daft Punk,Around The World,G,Major,121.294,Electronic
Franz Schubert,"Arpeggione Sonata, D. 821: II. Adagio",E,Major,73.214,Classical
Volen Sentir,Arrival - Original Mix,G,Major,123.014,Electronic
Jean-Yves Thibaudet,"Arrival To Netherfield - From ""Pride & Prejudice"" Soundtrack",C,Major,176.958,Classical
Foo Fighters,Arrows,C#,Major,121.988,Alternative
Zoé,Arrullo De Estrellas,F,Major,81.548,Rock
City Morgue,Arson,B,Major,159.967,Hip-Hop
Mad Season,Artifical Red,A,Major,143.477,Blues
EARTHGANG,Artificial,C,Minor,80.55,Hip-Hop
Mad Season,Artificial Red,A,Major,143.311,Blues
A Boogie Wit da Hoodie,Artist,C#,Major,158.125,Rap
Flight Facilities,Arty Boy,A,Minor,116.973,Alternative
empty_field,Aruban Nights,G,Major,92.064,Jazz
Adairs Run,As Long as I'm With You,C,Major,159.981,Country
Eminem,As The World Turns,G#,Minor,95.919,Rap
Eminem,As The World Turns,G#,Minor,95.919,Hip-Hop
Albert King,As The Years Go Passing By,F,Minor,183.532,Blues
Jimmy Durante,As Time Goes By - Remastered,D,Major,80.711,Jazz
Elefante,Así Es La Vida,G,Minor,97.969,Rock
T.I.,ASAP,A,Major,158.13,Rap
David Hohme,Ascent,D,Major,120.015,Electronic
André Previn,Ascot Gavotte - Voice,G,Major,120.815,Classical
Aleherion,Ashanti,F,Major,104.995,Electronic
Big Sean,Ashley,E,Minor,117.941,Hip-Hop
Shinedown,Asking For It,A#,Major,144.031,Rap
Shinedown,Asking For It,A#,Major,144.031,Rock
Jason Aldean,Asphalt Cowboy,B,Major,151.937,Country
Muse,Assassin,G,Minor,124.715,Rock
Rick Ross,Aston Martin Music,A#,Minor,171.917,Hip-Hop
Sir Sly,Astronaut,G,Major,112,Alternative
Sir Sly,Astronaut,G,Major,112,Rock
Blue Öyster Cult,Astronomy,E,Minor,89.285,Blues
The El Dorados,At My Front Door,G#,Major,174.641,Blues
Chris Tomlin,At The Cross (Love Ran Red),G#,Major,145.861,Alternative
Chris Tomlin,At The Cross (Love Ran Red),G#,Major,145.861,Rock
Hiatus Kaiyote,Atari,A,Major,158.089,Jazz
empty_field,A-Team,G,Minor,127.977,Rap
Plini,Atlas,D,Major,139.597,Jazz
jizue,atom,F#,Minor,134.025,Jazz
Thom Yorke,Atoms For Peace,C#,Major,134.972,Electronic
Trio X of Sweden,Atonement,G#,Major,105.706,Jazz
eli.,attached,F#,Minor,143.912,Rap
Fat Joe,Attention,A,Minor,100.736,Rap
Hunter Hayes,Attention - Recorded at Woodshed Recording Malibu,A,Minor,119.925,Country
Shinedown,ATTENTION ATTENTION,G,Major,160.03,Alternative
Shinedown,ATTENTION ATTENTION,G,Major,160.03,Rock
Trey Songz,Attitude,G,Major,125.016,Hip-Hop
System Of A Down,ATWA,F,Minor,87.105,Rap
System Of A Down,ATWA,F,Minor,87.105,Rock
Bread,Aubrey,G,Major,137.611,Country
Smokepurpp,Audi.,G,Major,122.993,Rap
Smokepurpp,Audi.,G,Major,122.993,Hip-Hop
Zero 7,Aurora,B,Major,97,Jazz
Blake Shelton,Austin,G,Major,119.914,Country
The Strokes,Automatic Stop,C#,Major,105.917,Alternative
The Strokes,Automatic Stop,C#,Major,105.917,Rock
The Faceless,Autotheist Movement I: Create,F,Minor,105.068,Jazz
Triple One,Autumn Collection,F#,Major,116.932,Hip-Hop
Ella Fitzgerald,Autumn In New York,G,Minor,138.075,Jazz
Atlantic Five Jazz Band,Autumn Leaves,G,Minor,93.111,Jazz
Bill Evans,Autumn Leaves,G,Minor,103.006,Jazz
Nat King Cole,Autumn Leaves - Remastered,D,Minor,86.868,Jazz
Lü Wencheng,Autumn Moon on a Calm Lake (pinghu qiuyue),C#,Major,61.551,Classical
Yo La Tengo,Autumn Sweater,G,Major,102.09,Alternative
Kayzo,Avalanche,F,Major,160.042,Electronic
Franz Schubert,Ave Maria,A#,Major,103.964,Classical
Neal Schon,Ave Maria,A#,Major,86.348,Classical
Johann Sebastian Bach,Ave Maria,C,Major,108.633,Classical
Guillaume Dufay,Ave maris stella,A,Minor,70.054,Classical
Wolfgang Amadeus Mozart,"Ave, verum Corpus: Ave, verum Corpus - Live",D,Major,73.436,Classical
Giovanni Guidi,Avec le temps,C,Major,81.354,Jazz
Lil Peep,Avoid,G#,Minor,79.789,Hip-Hop
Alison Wonderland,Awake - KRANE Remix,G,Minor,142.017,Electronic
Good Charlotte,Awful Things,B,Major,171.083,Alternative
A$AP Ferg,Aww Yeah,C,Major,120.956,Hip-Hop
Rodrigo Gallardo,Ay Que Sera Del Sol - Original,D,Major,99.993,Electronic
XXXTENTACION,Ayala (Outro),A,Minor,83.485,Rap
DJ Nelson,Ayer (remix) [feat. Anuel Aa & Farruko],D,Major,92.006,Hip-Hop
Jesús Adrián Romero,Ayer Te Vi... Fue Mas Claro Que La Luna,D#,Major,137.99,Rock
The Budos Band,Aynotchesh Yererfu,C,Minor,104,Jazz
Chris Brown,Ayo,F#,Major,98.031,Rap
Andre Nickatina,Ayo For Yayo,B,Minor,128.451,Rap
50 Cent,Ayo Technology,G#,Minor,139.775,Rap
Berner,Ayy (feat. YG & Logic),C#,Major,140.971,Rap
